oco_id;codigo_ocorrencia2;aeronave_fatalidades_total
1726;50380;0
1727;50381;0
1728;50382;0
1729;50383;0
1730;50384;0
1731;50384;0
1732;50388;0
1733;50389;0
1734;50390;0
1735;50399;0
1736;50412;0
1737;50431;0
1738;50433;0
1739;50434;0
1740;50435;0
1741;50453;0
1742;50511;0
1743;50513;0
1744;50515;0
1745;50516;0
1746;50517;0
1747;50531;0
1748;50532;0
1749;50533;0
1750;50534;0
1751;50535;0
1752;50542;0
1753;50543;0
1754;50544;0
1755;50545;0
1756;50546;0
1757;50547;0
1758;50549;0
1759;50551;0
1760;50552;0
1761;50554;0
1762;50556;0
1763;50557;0
1764;50558;0
1765;50559;0
1766;50560;0
1767;50561;0
1768;50562;0
1769;50563;0
1770;50564;0
1771;50565;0
1772;50654;0
1773;50672;0
1774;50673;0
1775;50674;0
1776;50692;0
1777;50693;0
1778;50712;2
1779;50713;0
1780;50714;0
1781;50753;0
1782;50771;0
1783;50791;0
1784;50792;0
1785;50794;0
1786;50797;2
1787;50799;0
1788;50800;0
1789;50801;0
1790;50801;0
1791;50802;0
1792;50803;0
1793;50804;3
1794;50805;1
1795;50806;1
1796;50807;0
1797;50808;2
1798;50809;2
1799;50810;0
1800;50812;0
1801;50831;4
1802;50838;0
1803;50916;0
1804;50918;1
1805;50919;0
1806;50921;0
1807;50922;0
1808;50923;0
1809;50952;1
1810;50972;5
1811;50973;0
1812;50974;0
1813;50975;0
1814;50976;0
1815;50977;1
1816;50978;0
1817;50979;0
1818;50980;1
1819;50981;0
1820;50983;0
1821;50984;0
1822;50985;0
1823;50991;1
1824;50992;2
1825;50993;0
1826;50994;0
1827;50995;0
1828;50996;1
1829;50998;0
1830;50999;0
1831;51000;0
1832;51001;4
1833;51002;0
1834;51003;0
1835;51004;0
1836;51005;0
1837;51006;0
1838;51007;0
1839;51008;0
1840;51009;2
1841;51010;0
1842;51011;0
1843;51012;2
1844;51013;0
1845;51015;0
1846;51016;0
1847;51017;0
1848;51018;0
1849;51019;0
1850;51020;0
1851;51021;0
1852;51022;0
1853;51023;0
1854;51024;0
1855;51025;0
1856;51026;0
