codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
45104;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;SUBSTANCIAL;0;PRWJG;156
45106;FORA DE AERODROMO;FORA DE AERODROMO;ESTACIONAMENTO;LEVE;0;PTMZE;154
45109;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PRAZX;73
45111;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PROAL;107
45127;AERÓDROMO NACIONAL DE AVIAÇÃO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTRKL;4
45128;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PUPYM;2
45149;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRTMB;8
45151;CARAUARI;CARAUARI;TÁXI;SUBSTANCIAL;0;PRRCH;6
45153;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;SUBSTANCIAL;0;PTYEC;2
45167;CONFRESA;FAZENDA PIRAGUASSU;DECOLAGEM;LEVE;0;PRJLD;1
45169;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO SOLO;SUBSTANCIAL;2;PUFTT;2
45187;FORA DE AERODROMO;FORA DE AERODROMO;PARTIDA DO MOTOR;SUBSTANCIAL;0;PRHBC;6
45188;MONTENEGRO;MONTENEGRO;POUSO;SUBSTANCIAL;0;PPGAX;2
45210;FORA DE AERODROMO;PIQUIATUBA;SUBIDA;SUBSTANCIAL;0;PTNNW;4
45211;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PUTJF;2
45212;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTEMR;6
45213;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;LEVE;0;PPKBU;2
45215;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;SUBSTANCIAL;0;PROPJ;6
45217;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PTTNF;0
45218;PINTO MARTINS;SENADOR PETRÔNIO PORTELLA;APROXIMAÇÃO FINAL;NENHUM;0;PRAYC;125
45222;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PPRTO;2
45222;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PTLPK;10
45224;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRCHY;21
45226;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PRGUL;193
45227;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRMHS;184
45228;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PPHOR;2
45229;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PROAS;107
45230;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PPMBA;14
45230;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRLCR;14
45232;SANTA MARIA;SANTA MARIA;ARREMETIDA NO SOLO;SUBSTANCIAL;0;PPGMR;2
45233;SANTA MARIA;SANTA MARIA;ARREMETIDA NO SOLO;SUBSTANCIAL;0;PPGMM;3
45235;CARAUARI;CARAUARI;CRUZEIRO;LEVE;0;PRMEW;6
45236;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRMBF;184
45237;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTEEK;7
45238;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PUDVA;2
45247;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;SUBSTANCIAL;0;PTUJE;1
